timestamp,location,resource_type,stock_level,snap_event
2026-02-20T16:00:00Z,Wakanda,Vibranium,426.17,false
2026-02-20T16:00:00Z,Wakanda,Medical Kits,152.30,false
2026-02-20T16:00:00Z,Wakanda,Clean Water,1774.98,false
2026-02-20T16:00:00Z,Wakanda,Arc Reactor Cores,75.64,false
2026-02-20T16:00:00Z,Wakanda,Pym Particles,28.68,false
2026-02-20T16:00:00Z,Sanctum Sanctorum,Vibranium,547.20,false
2026-02-20T16:00:00Z,Sanctum Sanctorum,Medical Kits,97.90,false
2026-02-20T16:00:00Z,Sanctum Sanctorum,Clean Water,1513.00,false
2026-02-20T16:00:00Z,Sanctum Sanctorum,Arc Reactor Cores,68.55,false
2026-02-20T16:00:00Z,Sanctum Sanctorum,Pym Particles,40.50,false
2026-02-20T16:00:00Z,Avengers Compound,Vibranium,807.23,false
2026-02-20T16:00:00Z,Avengers Compound,Medical Kits,151.53,false
2026-02-20T16:00:00Z,Avengers Compound,Clean Water,1582.61,false
2026-02-20T16:00:00Z,Avengers Compound,Arc Reactor Cores,38.24,false
2026-02-20T16:00:00Z,Avengers Compound,Pym Particles,71.32,false
2026-02-20T16:00:00Z,Sokovia,Vibranium,838.69,false
2026-02-20T16:00:00Z,Sokovia,Medical Kits,349.51,false
2026-02-20T16:00:00Z,Sokovia,Clean Water,1164.86,false
2026-02-20T16:00:00Z,Sokovia,Arc Reactor Cores,123.35,false
2026-02-20T16:00:00Z,Sokovia,Pym Particles,108.94,false
2026-02-20T16:00:00Z,New Asgard,Vibranium,447.03,false
2026-02-20T16:00:00Z,New Asgard,Medical Kits,154.03,false
2026-02-20T16:00:00Z,New Asgard,Clean Water,573.83,false
2026-02-20T16:00:00Z,New Asgard,Arc Reactor Cores,44.27,false
2026-02-20T16:00:00Z,New Asgard,Pym Particles,47.59,false
2026-02-20T17:00:00Z,Wakanda,Vibranium,401.70,false
2026-02-20T17:00:00Z,Wakanda,Medical Kits,148.91,false
2026-02-20T17:00:00Z,Wakanda,Clean Water,1739.79,false
2026-02-20T17:00:00Z,Wakanda,Arc Reactor Cores,69.66,false
2026-02-20T17:00:00Z,Wakanda,Pym Particles,24.77,false
2026-02-20T17:00:00Z,Sanctum Sanctorum,Vibranium,518.40,false
2026-02-20T17:00:00Z,Sanctum Sanctorum,Medical Kits,92.80,false
2026-02-20T17:00:00Z,Sanctum Sanctorum,Clean Water,1469.90,false
2026-02-20T17:00:00Z,Sanctum Sanctorum,Arc Reactor Cores,64.68,false
2026-02-20T17:00:00Z,Sanctum Sanctorum,Pym Particles,37.46,false
2026-02-20T17:00:00Z,Avengers Compound,Vibranium,784.15,false
2026-02-20T17:00:00Z,Avengers Compound,Medical Kits,143.02,false
2026-02-20T17:00:00Z,Avengers Compound,Clean Water,1499.35,false
2026-02-20T17:00:00Z,Avengers Compound,Arc Reactor Cores,35.73,false
2026-02-20T17:00:00Z,Avengers Compound,Pym Particles,69.17,false
2026-02-20T17:00:00Z,Sokovia,Vibranium,817.49,false
2026-02-20T17:00:00Z,Sokovia,Medical Kits,327.65,false
2026-02-20T17:00:00Z,Sokovia,Clean Water,1144.52,false
2026-02-20T17:00:00Z,Sokovia,Arc Reactor Cores,115.71,false
2026-02-20T17:00:00Z,Sokovia,Pym Particles,101.39,false
2026-02-20T17:00:00Z,New Asgard,Vibranium,440.19,false
2026-02-20T17:00:00Z,New Asgard,Medical Kits,150.44,false
2026-02-20T17:00:00Z,New Asgard,Clean Water,551.35,false
2026-02-20T17:00:00Z,New Asgard,Arc Reactor Cores,38.22,false
2026-02-20T17:00:00Z,New Asgard,Pym Particles,44.69,false
2026-02-20T18:00:00Z,Wakanda,Vibranium,388.84,false
2026-02-20T18:00:00Z,Wakanda,Medical Kits,136.50,false
2026-02-20T18:00:00Z,Wakanda,Clean Water,1699.27,false
2026-02-20T18:00:00Z,Wakanda,Arc Reactor Cores,67.15,false
2026-02-20T18:00:00Z,Wakanda,Pym Particles,18.98,false
2026-02-20T18:00:00Z,Sanctum Sanctorum,Vibranium,887.46,false
2026-02-20T18:00:00Z,Sanctum Sanctorum,Medical Kits,87.72,false
2026-02-20T18:00:00Z,Sanctum Sanctorum,Clean Water,1421.31,false
2026-02-20T18:00:00Z,Sanctum Sanctorum,Arc Reactor Cores,60.33,false
2026-02-20T18:00:00Z,Sanctum Sanctorum,Pym Particles,31.50,false
2026-02-20T18:00:00Z,Avengers Compound,Vibranium,767.61,false
2026-02-20T18:00:00Z,Avengers Compound,Medical Kits,136.39,false
2026-02-20T18:00:00Z,Avengers Compound,Clean Water,1483.40,false
